"molecule_chembl_id","smiles","ido1_ic50","tdo_ic50"
CHEMBL4208408,Cc1ccc(NC(=O)Nc2cc(-c3ccccc3C(=O)NS(=O)(=O)C(F)(F)F)ccc2N(CC(C)C)CC(C)C)cc1,1000.0,
CHEMBL4209779,O=C(COC(=O)Cc1ccccc1)NCc1cnc2scc(-c3ccc(Br)cc3)n12,580.0,
CHEMBL458765,CCOC(=O)c1c2c(n3ccccc13)C(=O)c1ccccc1C2=O,332.0,
CHEMBL4291940,Nc1ccccc1NC(=O)c1ccc(C(=O)NCCNc2nonc2/C(=N/O)Nc2ccc(F)c(Br)c2)cc1,69.0,
CHEMBL1224398,Br.CS(=O)(=O)c1ccc(CSC(=N)N)cc1,100000.0,
CHEMBL1224393,Cl.N=C(N)SCc1ccc(C(F)(F)F)cc1,2600.0,
CHEMBL1224315,Cc1ccc(CSC(=N)N)cc1.Cl,30000.0,
CHEMBL538001,CSC(=N)Nc1ccc(Cl)cc1.I,100000.0,
CHEMBL3310843,Cc1cccc(NNS(=O)(=O)c2ccc(S(C)(=O)=O)cc2)c1,43.0,
CHEMBL3310981,O=C(O)c1ccc(S(=O)(=O)NNc2ccc(Br)cc2)cc1,61.0,
CHEMBL3763237,Cl.NOCc1cc(F)cc(F)c1,3400.0,
CHEMBL3765254,Cl.NOCc1ccc(Br)cc1,1600.0,
CHEMBL3764868,CC(C)c1ccc(CON)cc1.Cl,15000.0,
CHEMBL4075095,COc1ccc(-c2ccc(Oc3ccccc3C)c(NC(=O)Nc3ccc(C)cc3)c2)cc1C(=O)O,840.0,
CHEMBL4063611,O=C1C/C(=N\Nc2nc(C3CCCCC3)cs2)c2ccccc21,10700.0,
CHEMBL4072215,N#Cc1cccc(-c2csc(N/N=C3\CC(=O)c4ccccc43)n2)c1,9784.0,
CHEMBL4522620,O=C1C(N[C@H](Cc2ccccc2)C(=O)Nc2ccccc2)=C/C(=N/O)c2ccccc21,3540.0,
CHEMBL4527226,c1ccc(-c2cnc[nH]2)c(OCCC2CCCC2)c1,7200.0,
CHEMBL4466779,O=C(CSc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21)NCCO,73.0,
CHEMBL209737,O=C1Nc2ccccc2/C1=N\c1ccc(Cl)cc1,2560.0,
CHEMBL4448402,O=C(NCc1cccc(Cn2cnc3ccccc32)c1)c1cc2ccccc2[nH]1,140.0,
CHEMBL4544527,COc1cccc(NCc2nnc3n2N=C(c2cccc(OC)c2)CS3)c1,30000.0,
CHEMBL4473536,CCOc1ccc(/C=N/NC(=O)c2c(O)ccc3ccccc23)cc1,27300.0,
