"molecule_chembl_id","smiles","ido1_ic50","tdo_ic50"
CHEMBL5219865,O[C@@H]1CCCC[C@H]1CNc1cc(Br)cc2[nH]ncc12,640.0,40.0
CHEMBL5220107,CC1=C(CC(=O)c2sccc2Br)C(=O)c2ccccc2C1=O,3.42,3.42
CHEMBL5747393,O=C(O)N1CCN(c2cc(C(F)(F)F)cc3cncn23)CC1,66200.0,17400.0
CHEMBL5858320,CC1(C)CCC(C)(C(O)c2c(C3CC3)sc3cncn23)C1,18.7,151.0
CHEMBL5911732,COc1ccccc1C(O)c1c(C2CC2)sc2cncn12,1110.0,6800.0
CHEMBL5437117,O=C1c2nc3ccc(CCN4CCOCC4)cc3c(=O)n2C2C=CC(F)=CC12,20.0,70.0
CHEMBL6012986,O=C(CC1c2ccccc2-c2cnnn21)C1CCC(F)(F)CC1,10000.0,10000.0
CHEMBL1909733,Brc1ccccc1-c1cnn[nH]1,148000.0,100000.0
CHEMBL3966057,Nc1n[nH]c2c1C(c1ccc(F)c(F)c1)c1c(N)n[nH]c1O2,239.0,3000.0
CHEMBL2148077,Clc1cccc(-c2c[nH]nn2)c1Cl,23000.0,100000.0
CHEMBL4283357,CCOC(=O)Nc1oc2c(-c3ccc(C(N)=O)cc3)nccc2c1Nc1ccc(F)c(Cl)c1,1000.0,2000.0
CHEMBL4276879,Nc1sc2ccccc2c1Sc1cccc(Cl)c1,1000.0,2000.0
CHEMBL4292689,Nc1sc2cnccc2c1Nc1ccc(F)c(Cl)c1,1000.0,2000.0
CHEMBL4291232,CCc1cc2c(Nc3ccc(F)c(Cl)c3)c(N)oc2c(-c2ccccc2)n1,200.0,2000.0
CHEMBL4287189,COc1cccc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)c1,200.0,500.0
CHEMBL4290511,COc1cc(Nc2c(N)oc3cnccc23)ccc1Cl,1000.0,500.0
CHEMBL4286734,Nc1oc2c(F)nccc2c1Nc1ccc(F)c(C(F)(F)F)c1,200.0,500.0
CHEMBL4288369,Cc1cc(-c2nc(F)cc3c(Nc4cccc(Cl)c4)c(N)oc23)ccn1,200.0,500.0
CHEMBL4567552,Fc1cccc(N2CCC(C3c4c(F)cccc4-c4cncn43)CC2)c1,72.0,371.0
CHEMBL4283109,N[C@@H](CC1C(=O)Nc2ccccc21)C(=O)O,3390.0,60220.0
CHEMBL4759518,O=C1c2ccccc2C(=O)c2c1nnn2-c1cccc(F)c1,52.0,101.0
CHEMBL4752502,N#Cc1ccc(-n2nnc3c2C(=O)c2ccccc2C3=O)cc1,26.0,66.0
CHEMBL4762048,COC(=O)c1ccc(-n2nnc3c2C(=O)c2ccccc2C3=O)cc1,34.0,58.0
CHEMBL4776703,O=C(/C(=N/O)Nc1ccc(F)c(Br)c1)C1CCN(C(=O)Nc2ccccc2)CC1,54.0,57970.0
CHEMBL4763205,O=C(Nc1ccccc1)[C@H]1CC[C@H](C(=O)/C(=N/O)Nc2ccc(F)c(Br)c2)CC1,197.0,100000.0
CHEMBL4764324,CC(=O)Nc1cc(Nc2ccc(F)c(Oc3ccccc3)c2)c2cc(C(=O)O)[nH]c2c1,5830.0,1440.0
CHEMBL5178341,COC(=O)c1cc(NCc2ccccc2[N+](=O)[O-])c2cn[nH]c2c1,100000.0,100000.0
CHEMBL5199588,FC(F)(F)c1cc(NCC2CNC2)c2cn[nH]c2c1,100000.0,100000.0
CHEMBL5183281,CC1(C)c2ccc3c(c2CC[C@@H]1O)C(=O)C(=O)c1c(CO)coc1-3,590.0,1010.0
CHEMBL5218765,Cl[C@@H]1CCCC[C@@H]1CNc1cc(Br)cc2[nH]ncc12,55500.0,67000.0
CHEMBL5882878,O=S(=O)(Cc1ccccc1)NC1C2CC3CC1CC([C@@H](O)CC1c4c(F)cccc4-c4cncn41)(C3)C2,300.0,5500.0
CHEMBL5938798,CC(=O)N1CCC(c2cc(C(F)(F)F)cn3cncc23)CC1,66200.0,300.0
CHEMBL5993542,CS(=O)(=O)N1CCN(c2cc(C(F)(F)F)cc3cncn23)CC1,66200.0,66200.0
CHEMBL5746274,CC(=O)N1CCN(c2cc(C(F)(F)F)cn3cncc23)CC1(C)C,300.0,300.0
CHEMBL6054038,CC1(C)CN(Cc2cc(Cl)cc3cncn23)CCN1S(C)(=O)=O,300.0,300.0
CHEMBL6027431,CC1CCCCC1CC(O)c1c(C2CC2)sc2cncn12,45.2,411.0
CHEMBL6041061,CC1(C)CCC(CC(O)c2c(C3CC3)sc3cncn23)C1,39.4,321.0
CHEMBL5749976,CC1(C)CCC(C(O)c2c(C3CC3)sc3cncn23)C1,18.8,287.0
CHEMBL6032725,CC(C)(C)C1CCC(C(O)c2c(C3CC3)sc3cncn23)CC1,511.0,2780.0
CHEMBL5921138,CCc1sc2cncn2c1C(O)CC1CCCCC1,6.63,299.0
CHEMBL5781737,COC1CCCC(CC(O)c2c(C3CC3)sc3cncn23)C1,40.5,1830.0
CHEMBL5875287,CCc1sc2cncn2c1C(O)c1ccccc1,59.3,195.0
CHEMBL5827288,Fc1cccc2c1C(C1CCN(c3ncc(Br)s3)CC1)n1cncc1-2,48.2,399.0
CHEMBL312537,Cc1ccc2c(c1)C(=O)c1nc3ccccc3c(=O)n1-2,121200.0,3230.0
CHEMBL3086870,O=C1c2ccccc2-n2c1nc1ccc(F)cc1c2=O,864400.0,9810.0
CHEMBL4248088,O=C1c2ncccc2C(=O)c2c1c(C(=O)Nc1ccccc1)c1ccccn21,119.0,100000.0
CHEMBL3628553,Cc1ccc(Cn2nnc3c2C(=O)c2ccccc2C3=O)cc1,1770.0,1088.0
CHEMBL4290084,COC(=O)Nc1oc2cnccc2c1Nc1ccc(F)c(Cl)c1,1000.0,2000.0
CHEMBL4279004,CCOC(=O)Nc1oc2c(-c3cc(C)nc(C)c3)nccc2c1Nc1ccc(F)c(Cl)c1,1000.0,2000.0
CHEMBL4291289,Nc1sc2ccc(Br)cc2c1Nc1ccc(F)c(Cl)c1,200.0,2000.0
CHEMBL4295062,Cc1nccc2c(Nc3cccc(C(F)(F)F)c3)c(N)oc12,200.0,2000.0
CHEMBL4279821,CCc1nccc2c(Nc3ccc(F)c(Cl)c3)c(N)oc12,200.0,500.0
CHEMBL4278386,CC(C)(C)c1cccc(Nc2c(N)oc3cnccc23)c1,1000.0,2000.0
CHEMBL4287546,Nc1oc2cnccc2c1Nc1ccc(Cl)cc1,1000.0,500.0
CHEMBL4277115,Nc1oc2cnccc2c1Nc1ccc(F)cc1,200.0,500.0
CHEMBL4279253,CCOC(=O)Nc1oc2c(-c3ccncc3)nccc2c1N(C(=O)OCC)c1ccc(F)c(C(F)(F)F)c1,1000.0,2000.0
CHEMBL4288257,Nc1oc2c(-c3cccc(C(F)(F)F)c3)nccc2c1Nc1ccc(F)c(Cl)c1,200.0,2000.0
CHEMBL4280727,Nc1oc2c(-c3ccncc3)nccc2c1Nc1cccc(C(F)(F)F)c1,200.0,500.0
CHEMBL4293768,Cc1cc(-c2nccc3c(Nc4cccc(C(F)(F)F)c4)c(N)oc23)ccn1,200.0,500.0
CHEMBL4277268,Nc1oc2cnc(F)cc2c1Nc1ccc(F)c(C(F)(F)F)c1,200.0,500.0
CHEMBL4291087,CC(C)(C)NC(=O)c1cc(-c2nccc3c(Nc4ccc(F)c(Cl)c4)c(N)oc23)ccn1,200.0,2000.0
CHEMBL4586507,Fc1cccc2c1C(C1CCCCC1)n1cncc1-2,108.0,85.0
CHEMBL4515137,O=C(CNc1nonc1/C(=N/O)N[C@H]1Cc2ccc(F)cc21)NCCO,81.0,10000.0
CHEMBL4751227,CC[C@@H](C(=O)Nc1ccc(Cl)cc1)N1CCC2(CC1)COc1cc(C(F)(F)F)ccc12,360.0,11400.0
CHEMBL4757995,CC[C@H](C(=O)Nc1ccc(Cl)cc1)N1CCC2(CC1)COc1cc(C(F)(F)F)ccc12,109.0,15500.0
CHEMBL4777262,O=C(Nc1ccc(Cl)cc1)C(=O)N1CCC(c2ccnc3ccc(F)cc23)C(F)(F)C1,9.0,6300.0
CHEMBL4749726,O=C1c2ccccc2C(=O)c2c1nnn2-c1cccc(Cl)c1,40.0,36.0
CHEMBL4741297,O=[N+]([O-])c1ccc(N/C(Cc2ccc(F)cc2F)=N\O)c2nonc12,160.0,19000.0
CHEMBL4747676,O=[N+]([O-])c1ccc(N/C(Cc2ccc(F)cc2)=N\O)c2nonc12,98.0,65000.0
CHEMBL4781037,NS(=O)(=O)N1CCC(C(=O)/C(=N/O)Nc2ccc(F)c(Br)c2)CC1,45.0,62457.0
CHEMBL4747226,Cn1cc(-c2ccc(NC(=O)N3CCC(C(=O)/C(=N/O)Nc4ccc(F)c(Br)c4)CC3)cc2)cn1,15.0,100000.0
CHEMBL301982,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]12C,8410.0,100000.0
CHEMBL5195880,c1ccc2c(-c3ccc4nsnc4c3)c[nH]c2c1,100000.0,3000.0
CHEMBL5187479,Clc1ccc(-c2nccc3c2[nH]c2ccccc23)cc1,7580.0,8290.0
CHEMBL5194494,N#Cc1ccc(-c2nccc3c2[nH]c2ccccc23)cc1,50000.0,11980.0
CHEMBL1209728,Cc1c(Br)oc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,10000.0,10000.0
CHEMBL5220840,Cn1ncc2c(NC[C@@H]3CCCC[C@H]3O)cc(Br)cc21,38010.0,33240.0
CHEMBL5619844,COc1ccc2cc(C34C[C@H]5C[C@@H](C3)C[C@@H](C4)C5)ncc2c1OC,17820.0,2640.0
CHEMBL5620227,COc1ccc2cc(-c3ccc(F)cc3)ncc2c1O,100000.0,50960.0
CHEMBL5619886,COc1ccc2cc(-c3ccc(NC(C)=O)cc3)ncc2c1O,2110.0,350.0
CHEMBL5619884,COc1ccc2cc(-c3ccc(NC(=O)Nc4ccccc4)cc3)ncc2c1O,50490.0,14290.0
CHEMBL5783691,Cc1sc2cncn2c1[C@H](O)C1CCCCC1,37.3,60.4
CHEMBL5936519,OC(c1c(Br)sc2cncn12)C1CCCCC1,28.0,218.0
CHEMBL5826989,O[C@H](CC1CCCC1)c1c(C2CC2)sc2cncn12,20.5,356.0
CHEMBL5752652,CC1(C)CCC(CC(O)c2c(C3CC3)sc3cncn23)CC1,75.2,775.0
CHEMBL5817587,OC(c1cccs1)c1c(Br)sc2cncn12,63.4,643.0
CHEMBL6001138,CCc1cccc(C(O)c2c(C3CC3)sc3cncn23)c1,120.0,1850.0
CHEMBL5799919,OC(Cc1cccc2ccccc12)c1c(C2CC2)sc2cncn12,325.0,3510.0
CHEMBL5824104,CC1(C)CCCC(C(O)c2c(C3CC3)sc3cncn23)C1,40.0,255.0
CHEMBL6041237,OC(CC1CCCCC1)c1c(-c2ccccc2)sc2cncn12,296.0,496.0
CHEMBL5792659,OC(CC1CCCC1c1ccccc1)c1c(C2CC2)sc2cncn12,139.0,3770.0
CHEMBL5760936,Cc1sc2cncn2c1C(O)C#Cc1ccccc1,459.0,10200.0
